FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
360,316001,JRG Parczew,833551954,833551955,JRG,LUBELSKIE,parczewski,Parczew,Parczew,Piwonia 12,21-200,22.9033916667,51.6438611111,22.9033916667,51.6438611111
361,1407002,JRG Pasłęk, ,477319398,JRG,WARMIŃSKO-MAZURSKIE,elbląski,Pasłęk,Pasłęk,Westerplatte 9A,14-400,19.6554055556,54.0616194444,19.6554055556,54.0616194444
362,721001,JRG Piaseczno,227567243,227567243 wew.: 101,JRG,MAZOWIECKIE,piaseczyński,Piaseczno,Piaseczno,Staszica 19,05-500,21.0346888889,52.06735,21.0346888889,52.06735
363,1220001,JRG Piekary Śląskie, ,322872124 wew.: 100,JRG,ŚLĄSKIE,Piekary Śląskie,Piekary Śląskie,Piekary Śląskie,Karola Miarki 14,41-940,18.9400888889,50.3730694444,18.9400888889,50.3730694444
364,1309001,JRG Pińczów,413572247,413573855,JRG,ŚWIĘTOKRZYSKIE,pińczowski,Pińczów,Pińczów,Przemysłowa 21,28-400,20.5218083333,50.5283083333,20.5218083333,50.5283083333
365,511001,JRG Piotrków Trybunalski,446473464,446490130,JRG,ŁÓDZKIE,Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,Jagiellońska 11,97-300,19.694275,51.4034416667,19.694275,51.4034416667
366,1418001,JRG Pisz,874254104,874254100,JRG,WARMIŃSKO-MAZURSKIE,piski,Pisz,Pisz,Olsztyńska 40a,12-200,21.7933305556,53.6328777778,21.7933305556,53.6328777778
367,1525001,JRG Pleszew, wew.: 6,477718915,JRG,WIELKOPOLSKIE,pleszewski,Pleszew,Pleszew,Słowackiego 19,63-300,17.7810027778,51.8938,17.7810027778,51.8938
368,724001,JRG Płońsk,236527598,236527597,JRG,MAZOWIECKIE,płoński,Płońsk (gmina miejska),Płońsk,Sienkiewicza 9,09-100,20.3794833333,52.6307777778,20.3794833333,52.6307777778
369,513001,JRG Poddębice,436787510,436787510,JRG,ŁÓDZKIE,poddębicki,Poddębice,Poddębice,Narutowicza 3,99-200,18.9535222222,51.8923888889,18.9535222222,51.8923888889
370,1613001,JRG Police,914316800,914316800,JRG,ZACHODNIOPOMORSKIE,policki,Police,Police,Tanowska 4a,72-010,14.5576277778,53.5514527778,14.5576277778,53.5514527778
371,120001,JRG Polkowice,767249900 wew.: 76724,767249911 wew.: 76724,JRG,DOLNOŚLĄSKIE,polkowicki,Polkowice,Polkowice,Polna 3,59-100,16.0888194444,51.5066694444,16.0888194444,51.5066694444
372,616001,JRG Proszowice,123853170,478317413,JRG,MAŁOPOLSKIE,proszowicki,Proszowice,Proszowice,3-go Maja 140,32-100,20.30425,50.1914611111,20.30425,50.1914611111
373,811001,JRG Prudnik,478616110,478616110,JRG,OPOLSKIE,prudnicki,Prudnik,Prudnik,Legionów 12a,48-200,17.5673777778,50.3178055556,17.5673777778,50.3178055556
374,1112001,JRG Pruszcz Gdański,586835684,586823023,JRG,POMORSKIE,gdański,Pruszcz Gdański (gmina miejska),Pruszcz Gdański,Gdańska 1a,83-000,18.6390361111,54.2663916667,18.6390361111,54.2663916667
375,725001,JRG Pruszków,227586252,227586252,JRG,MAZOWIECKIE,pruszkowski,Pruszków,Pruszków,Staszica 4,05-800,20.7901166667,52.1643333333,20.7901166667,52.1643333333
376,726001,JRG Przasnysz,297522656,297526531,JRG,MAZOWIECKIE,przasnyski,Przasnysz (gmina miejska),Przasnysz,Baranowska 44,06-300,20.8948888889,53.0213888889,20.8948888889,53.0213888889
377,915001,JRG Przemyśl, ,166764600,JRG,PODKARPACKIE,przemyski,Przemyśl,Przemyśl,Pl. Św. Floriana 1,37-700,22.7777777778,49.7872222222,22.7777777778,49.7872222222
378,917001,JRG Przeworsk,166488233,166491180,JRG,PODKARPACKIE,przeworski,Przeworsk (gmina miejska),Przeworsk,Ignacego Krasickiego 7,37-200,22.4961638889,50.0605888889,22.4961638889,50.0605888889
379,727001,JRG Przysucha,486752055,486752055,JRG,MAZOWIECKIE,przysuski,Przysucha,Przysucha,Targowa 3,26-400,20.6238888889,51.3591388889,20.6238888889,51.3591388889
380,1221001,JRG Pszczyna,478518400,478518420,JRG,ŚLĄSKIE,pszczyński,Pszczyna,Pszczyna,Górnośląska 7,43-200,18.9573611111,49.9704944444,18.9573611111,49.9704944444
